"Date Printed: Monday, April 13, 2026 2:51:16 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Male | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2014","Virginia","51","272","6.7"
"Primary and Secondary Syphilis","2014","Washington","53","326","9.3"
"Primary and Secondary Syphilis","2014","West Virginia","54","22","2.4"
"Primary and Secondary Syphilis","2014","Wisconsin","55","79","2.8"
"Primary and Secondary Syphilis","2014","Wyoming","56","4","1.3"
"Primary and Secondary Syphilis","2013","Alabama","01","161","6.9"
"Primary and Secondary Syphilis","2013","Alaska","02","21","5.4"
"Primary and Secondary Syphilis","2013","Arizona","04","260","7.9"
"Primary and Secondary Syphilis","2013","Arkansas","05","133","9.2"
"Primary and Secondary Syphilis","2013","California","06","3,319","17.5"
"Primary and Secondary Syphilis","2013","Colorado","08","159","6.0"
"Primary and Secondary Syphilis","2013","Connecticut","09","48","2.7"
"Primary and Secondary Syphilis","2013","Delaware","10","49","11.0"
"Primary and Secondary Syphilis","2013","District of Columbia","11","149","48.3"
"Primary and Secondary Syphilis","2013","Florida","12","1,376","14.4"
"Primary and Secondary Syphilis","2013","Georgia","13","930","19.1"
"Primary and Secondary Syphilis","2013","Hawaii","15","46","6.5"
"Primary and Secondary Syphilis","2013","Idaho","16","15","1.9"
"Primary and Secondary Syphilis","2013","Illinois","17","731","11.5"
"Primary and Secondary Syphilis","2013","Indiana","18","197","6.1"
"Primary and Secondary Syphilis","2013","Iowa","19","96","6.3"
"Primary and Secondary Syphilis","2013","Kansas","20","47","3.3"
"Primary and Secondary Syphilis","2013","Kentucky","21","105","4.8"
"Primary and Secondary Syphilis","2013","Louisiana","22","308","13.6"
"Primary and Secondary Syphilis","2013","Maine","23","9","1.4"
"Primary and Secondary Syphilis","2013","Maryland","24","395","13.8"
"Primary and Secondary Syphilis","2013","Massachusetts","25","343","10.5"
"Primary and Secondary Syphilis","2013","Michigan","26","458","9.4"
"Primary and Secondary Syphilis","2013","Minnesota","27","178","6.6"
"Primary and Secondary Syphilis","2013","Mississippi","28","59","4.1"
"Primary and Secondary Syphilis","2013","Missouri","29","232","7.8"
"Primary and Secondary Syphilis","2013","Montana","30","4","0.8"
"Primary and Secondary Syphilis","2013","Nebraska","31","37","4.0"
"Primary and Secondary Syphilis","2013","Nevada","32","191","13.7"
"Primary and Secondary Syphilis","2013","New Hampshire","33","27","4.1"
"Primary and Secondary Syphilis","2013","New Jersey","34","220","5.1"
"Primary and Secondary Syphilis","2013","New Mexico","35","58","5.6"
"Primary and Secondary Syphilis","2013","New York","36","1,408","14.8"
"Primary and Secondary Syphilis","2013","North Carolina","37","368","7.7"
"Primary and Secondary Syphilis","2013","North Dakota","38","11","3.0"
"Primary and Secondary Syphilis","2013","Ohio","39","373","6.6"
"Primary and Secondary Syphilis","2013","Oklahoma","40","105","5.5"
"Primary and Secondary Syphilis","2013","Oregon","41","255","13.1"
"Primary and Secondary Syphilis","2013","Pennsylvania","42","445","7.1"
"Primary and Secondary Syphilis","2013","Rhode Island","44","44","8.6"
"Primary and Secondary Syphilis","2013","South Carolina","45","232","10.0"
