"Date Printed: Friday, April 24, 2026 6:19:32 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2017","Texas","48","313","2.2"
"Primary and Secondary Syphilis","2017","Utah","49","4","0.3"
"Primary and Secondary Syphilis","2017","Vermont","50","1","0.3"
"Primary and Secondary Syphilis","2017","Virginia","51","60","1.4"
"Primary and Secondary Syphilis","2017","Washington","53","70","1.9"
"Primary and Secondary Syphilis","2017","West Virginia","54","21","2.3"
"Primary and Secondary Syphilis","2017","Wisconsin","55","12","0.4"
"Primary and Secondary Syphilis","2017","Wyoming","56","0","0.0"
"Primary and Secondary Syphilis","2016","Alabama","01","80","3.2"
"Primary and Secondary Syphilis","2016","Alaska","02","0","0.0"
"Primary and Secondary Syphilis","2016","Arizona","04","80","2.3"
"Primary and Secondary Syphilis","2016","Arkansas","05","37","2.4"
"Primary and Secondary Syphilis","2016","California","06","744","3.8"
"Primary and Secondary Syphilis","2016","Colorado","08","16","0.6"
"Primary and Secondary Syphilis","2016","Connecticut","09","12","0.7"
"Primary and Secondary Syphilis","2016","Delaware","10","3","0.6"
"Primary and Secondary Syphilis","2016","District of Columbia","11","5","1.4"
"Primary and Secondary Syphilis","2016","Florida","12","266","2.5"
"Primary and Secondary Syphilis","2016","Georgia","13","113","2.1"
"Primary and Secondary Syphilis","2016","Hawaii","15","10","1.4"
"Primary and Secondary Syphilis","2016","Idaho","16","6","0.7"
"Primary and Secondary Syphilis","2016","Illinois","17","95","1.5"
"Primary and Secondary Syphilis","2016","Indiana","18","36","1.1"
"Primary and Secondary Syphilis","2016","Iowa","19","6","0.4"
"Primary and Secondary Syphilis","2016","Kansas","20","12","0.8"
"Primary and Secondary Syphilis","2016","Kentucky","21","21","0.9"
"Primary and Secondary Syphilis","2016","Louisiana","22","192","8.0"
"Primary and Secondary Syphilis","2016","Maine","23","3","0.4"
"Primary and Secondary Syphilis","2016","Maryland","24","54","1.7"
"Primary and Secondary Syphilis","2016","Massachusetts","25","24","0.7"
"Primary and Secondary Syphilis","2016","Michigan","26","31","0.6"
"Primary and Secondary Syphilis","2016","Minnesota","27","37","1.3"
