"Date Printed: Monday, April 13, 2026 4:06:03 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | All age groups | All transmission categories""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2013","New Jersey","34","233","2.6"
"Primary and Secondary Syphilis","2013","New Mexico","35","78","3.7"
"Primary and Secondary Syphilis","2013","New York","36","1,459","7.4"
"Primary and Secondary Syphilis","2013","North Carolina","37","404","4.1"
"Primary and Secondary Syphilis","2013","North Dakota","38","12","1.7"
"Primary and Secondary Syphilis","2013","Ohio","39","436","3.8"
"Primary and Secondary Syphilis","2013","Oklahoma","40","118","3.1"
"Primary and Secondary Syphilis","2013","Oregon","41","267","6.8"
"Primary and Secondary Syphilis","2013","Pennsylvania","42","471","3.7"
"Primary and Secondary Syphilis","2013","Rhode Island","44","45","4.3"
"Primary and Secondary Syphilis","2013","South Carolina","45","271","5.7"
"Primary and Secondary Syphilis","2013","South Dakota","46","44","5.2"
"Primary and Secondary Syphilis","2013","Tennessee","47","214","3.3"
"Primary and Secondary Syphilis","2013","Texas","48","1,475","5.6"
"Primary and Secondary Syphilis","2013","Utah","49","74","2.6"
"Primary and Secondary Syphilis","2013","Vermont","50","3","0.5"
"Primary and Secondary Syphilis","2013","Virginia","51","315","3.8"
"Primary and Secondary Syphilis","2013","Washington","53","284","4.1"
"Primary and Secondary Syphilis","2013","West Virginia","54","15","0.8"
"Primary and Secondary Syphilis","2013","Wisconsin","55","95","1.7"
"Primary and Secondary Syphilis","2013","Wyoming","56","1","0.2"
"Primary and Secondary Syphilis","2012","Alabama","01","216","4.5"
"Primary and Secondary Syphilis","2012","Alaska","02","11","1.5"
"Primary and Secondary Syphilis","2012","Arizona","04","202","3.1"
"Primary and Secondary Syphilis","2012","Arkansas","05","173","5.9"
"Primary and Secondary Syphilis","2012","California","06","2,953","7.8"
"Primary and Secondary Syphilis","2012","Colorado","08","208","4.0"
"Primary and Secondary Syphilis","2012","Connecticut","09","55","1.5"
"Primary and Secondary Syphilis","2012","Delaware","10","38","4.2"
"Primary and Secondary Syphilis","2012","District of Columbia","11","165","26.0"
"Primary and Secondary Syphilis","2012","Florida","12","1,369","7.1"
"Primary and Secondary Syphilis","2012","Georgia","13","937","9.5"
"Primary and Secondary Syphilis","2012","Hawaii","15","23","1.6"
"Primary and Secondary Syphilis","2012","Idaho","16","26","1.6"
"Primary and Secondary Syphilis","2012","Illinois","17","804","6.2"
"Primary and Secondary Syphilis","2012","Indiana","18","224","3.4"
"Primary and Secondary Syphilis","2012","Iowa","19","70","2.3"
"Primary and Secondary Syphilis","2012","Kansas","20","24","0.8"
"Primary and Secondary Syphilis","2012","Kentucky","21","150","3.4"
"Primary and Secondary Syphilis","2012","Louisiana","22","339","7.4"
"Primary and Secondary Syphilis","2012","Maine","23","17","1.3"
"Primary and Secondary Syphilis","2012","Maryland","24","431","7.3"
"Primary and Secondary Syphilis","2012","Massachusetts","25","316","4.7"
"Primary and Secondary Syphilis","2012","Michigan","26","295","3.0"
"Primary and Secondary Syphilis","2012","Minnesota","27","118","2.2"
"Primary and Secondary Syphilis","2012","Mississippi","28","150","5.0"
"Primary and Secondary Syphilis","2012","Missouri","29","157","2.6"
"Primary and Secondary Syphilis","2012","Montana","30","2","0.2"
"Primary and Secondary Syphilis","2012","Nebraska","31","8","0.4"
"Primary and Secondary Syphilis","2012","Nevada","32","113","4.1"
"Primary and Secondary Syphilis","2012","New Hampshire","33","36","2.7"
"Primary and Secondary Syphilis","2012","New Jersey","34","229","2.6"
"Primary and Secondary Syphilis","2012","New Mexico","35","101","4.8"
"Primary and Secondary Syphilis","2012","New York","36","1,224","6.3"
"Primary and Secondary Syphilis","2012","North Carolina","37","347","3.6"
"Primary and Secondary Syphilis","2012","North Dakota","38","4","0.6"
"Primary and Secondary Syphilis","2012","Ohio","39","425","3.7"
"Primary and Secondary Syphilis","2012","Oklahoma","40","83","2.2"
"Primary and Secondary Syphilis","2012","Oregon","41","212","5.4"
"Primary and Secondary Syphilis","2012","Pennsylvania","42","494","3.9"
"Primary and Secondary Syphilis","2012","Rhode Island","44","44","4.2"
"Primary and Secondary Syphilis","2012","South Carolina","45","225","4.8"
"Primary and Secondary Syphilis","2012","South Dakota","46","18","2.2"
"Primary and Secondary Syphilis","2012","Tennessee","47","266","4.1"
"Primary and Secondary Syphilis","2012","Texas","48","1,627","6.2"
"Primary and Secondary Syphilis","2012","Utah","49","42","1.5"
"Primary and Secondary Syphilis","2012","Vermont","50","6","1.0"
"Primary and Secondary Syphilis","2012","Virginia","51","285","3.5"
"Primary and Secondary Syphilis","2012","Washington","53","302","4.4"
"Primary and Secondary Syphilis","2012","West Virginia","54","8","0.4"
"Primary and Secondary Syphilis","2012","Wisconsin","55","91","1.6"
"Primary and Secondary Syphilis","2012","Wyoming","56","4","0.7"
"Primary and Secondary Syphilis","2011","Alabama","01","228","4.8"
"Primary and Secondary Syphilis","2011","Alaska","02","5","0.7"
"Primary and Secondary Syphilis","2011","Arizona","04","274","4.2"
"Primary and Secondary Syphilis","2011","Arkansas","05","182","6.2"
"Primary and Secondary Syphilis","2011","California","06","2,443","6.5"
"Primary and Secondary Syphilis","2011","Colorado","08","133","2.6"
"Primary and Secondary Syphilis","2011","Connecticut","09","65","1.8"
"Primary and Secondary Syphilis","2011","Delaware","10","27","3.0"
"Primary and Secondary Syphilis","2011","District of Columbia","11","165","26.6"
"Primary and Secondary Syphilis","2011","Florida","12","1,257","6.6"
"Primary and Secondary Syphilis","2011","Georgia","13","678","6.9"
"Primary and Secondary Syphilis","2011","Hawaii","15","14","1.0"
"Primary and Secondary Syphilis","2011","Idaho","16","13","0.8"
"Primary and Secondary Syphilis","2011","Illinois","17","881","6.8"
"Primary and Secondary Syphilis","2011","Indiana","18","173","2.7"
"Primary and Secondary Syphilis","2011","Iowa","19","20","0.7"
"Primary and Secondary Syphilis","2011","Kansas","20","24","0.8"
"Primary and Secondary Syphilis","2011","Kentucky","21","129","3.0"
"Primary and Secondary Syphilis","2011","Louisiana","22","447","9.8"
"Primary and Secondary Syphilis","2011","Maine","23","12","0.9"
"Primary and Secondary Syphilis","2011","Maryland","24","452","7.7"
"Primary and Secondary Syphilis","2011","Massachusetts","25","266","4.0"
"Primary and Secondary Syphilis","2011","Michigan","26","286","2.9"
"Primary and Secondary Syphilis","2011","Minnesota","27","139","2.6"
"Primary and Secondary Syphilis","2011","Mississippi","28","191","6.4"
"Primary and Secondary Syphilis","2011","Missouri","29","136","2.3"
"Primary and Secondary Syphilis","2011","Montana","30","7","0.7"
